date,ticker,close
2025-05-09,AAPL,198.53
2025-05-12,AAPL,210.79
2025-05-13,AAPL,212.93
2025-05-14,AAPL,212.33
2025-05-15,AAPL,211.45
2025-05-16,AAPL,211.26
2025-05-19,AAPL,208.78
2025-05-20,AAPL,206.86
2025-05-21,AAPL,202.09
2025-05-22,AAPL,201.36
2025-05-23,AAPL,195.27
2025-05-27,AAPL,200.21
2025-05-28,AAPL,200.42
2025-05-29,AAPL,199.95
2025-05-30,AAPL,200.85
2025-06-02,AAPL,201.7
2025-06-03,AAPL,203.27
2025-06-04,AAPL,202.82
2025-06-05,AAPL,200.63
2025-06-06,AAPL,203.92
2025-06-09,AAPL,201.45
2025-06-10,AAPL,202.67
2025-06-11,AAPL,198.78
2025-06-12,AAPL,199.2
2025-06-13,AAPL,196.45
2025-06-16,AAPL,198.42
2025-06-17,AAPL,195.64
2025-06-18,AAPL,196.58
2025-06-20,AAPL,201.0
2025-06-23,AAPL,201.5
2025-06-24,AAPL,200.3
2025-06-25,AAPL,201.56
2025-06-26,AAPL,201.0
2025-06-27,AAPL,201.08
2025-06-30,AAPL,205.17
2025-07-01,AAPL,207.82
2025-07-02,AAPL,212.44
2025-07-03,AAPL,213.55
2025-07-07,AAPL,209.95
2025-07-08,AAPL,210.01
2025-07-09,AAPL,211.14
2025-07-10,AAPL,212.41
2025-07-11,AAPL,211.16
2025-07-14,AAPL,208.62
2025-07-15,AAPL,209.11
2025-07-16,AAPL,210.16
2025-07-17,AAPL,210.02
2025-07-18,AAPL,211.18
2025-07-21,AAPL,212.48
2025-07-22,AAPL,214.4
2025-07-23,AAPL,214.15
2025-07-24,AAPL,213.76
2025-07-25,AAPL,213.88
2025-07-28,AAPL,214.05
2025-07-29,AAPL,211.27
2025-07-30,AAPL,209.05
2025-07-31,AAPL,207.57
2025-08-01,AAPL,202.38
2025-08-04,AAPL,203.35
2025-08-05,AAPL,202.92
2025-08-06,AAPL,213.25
2025-08-07,AAPL,220.03
2025-08-08,AAPL,229.35
2025-08-11,AAPL,227.18
2025-08-12,AAPL,229.65
2025-08-13,AAPL,233.33
2025-08-14,AAPL,232.78
2025-08-15,AAPL,231.59
2025-08-18,AAPL,230.89
2025-08-19,AAPL,230.56
2025-08-20,AAPL,226.01
